knesset,session,speaker,party,role,text,subject,sub_subject
,,אורי מקלב,יהדות התורה,,"יש לי הסתייגות. אני לא חושב שזה המקום עכשיו להרחיב; אולי לקיים דיון נרחב. אני לא חושב שכל מה שהם אומרים זה נכון, אבל אני לא רוצה לנהל את הוויכוח. אני חושב שדווקא חשוב – – –",474. קידום חקלאות ירוקה על גגות,
,,מיקי לוי,,"היו""ר",תשובות רשמיות של המשרד.,474. קידום חקלאות ירוקה על גגות,
,,אורי מקלב,יהדות התורה,,"קודם כול, המציאות – שהרשויות המקומיות כן דורשות היתר בנייה, ופקחים סגרו, וההצעות מסביב לעניין הזה רבות והארנונה היא מאוד גבוהה. גם במקום שהחליפו את זה ממסחר לתעשייה זה עדיין גבוה – חקלאות, כפי שאת אמרת, זה 0.01 לקרקע. אבל אם אמרת שהמשרד עכשיו לוקח את זה בצורה רצינית יותר אני סומך עליכם שתקדמו את זה. היתרונות הם אולי רבים מהחסרונות לפי כל קנה מידה.",474. קידום חקלאות ירוקה על גגות,
,,אילת שקד,,שרת הפנים,כן.,474. קידום חקלאות ירוקה על גגות,
,,אורי מקלב,יהדות התורה,,"בכל אופן, נושא הדרכונים. זה ברור והכנסת כאן גם עדה למאמצים הגדולים שאת עשית במשרד כדי לתת מענה לביקוש. היום להוציא דרכון זה משימה מאוד מאוד קשה, ואולי גם תופעת מאכערים נוצרה בגלל הדברים האלה. עשיתם באמת – תומר מוסקוביץ' הופיע כאן מטעמך, העוזר שלך חזקי ליפשיץ היה פה, עשו מאמצים, אבל המציאות שרק אתמול ביררתי, גם באותו מקום בבני ברק שפתחתם אין תורים. אז מה את אומרת? מה את מבשרת לציבור?ועוד שאלה קצרה. אם אנחנו כבר מדברים עכשיו על הנושא הזה, בכל אופן התעריף או המחיר שמתבקש, האגרה היא גבוהה – 400 שקל ומעלה – ואחרי זה, בעוד זמן מה, הוא יתבקש לעשות את הדרכון הקבוע והוא יצטרך שוב לשלם, 255 שקלים.",474. קידום חקלאות ירוקה על גגות,
,,אילת שקד,,שרת הפנים,הוא לא. אז אני אסביר.,474. קידום חקלאות ירוקה על גגות,
,,אורי מקלב,יהדות התורה,,אם את תבשרי את זה פה אני חושב שזו בשורה גדולה.,474. קידום חקלאות ירוקה על גגות,
,,אילת שקד,,שרת הפנים,"אז אני אבשר. קודם כול, אני באמת אבשר שבגלל מצוקת הדרכונים ושאנשים נאלצים להוציא דרכונים זמניים, מי שמוציא דרכון זמני יקבל פטור מאגרה לדרכון הביומטרי, זאת אומרת שהוא לא יצטרך לשלם פעמיים, זה קודם כול.",474. קידום חקלאות ירוקה על גגות,
,,ינון אזולאי,"ש""ס",,"אבל השרה, מה שאני יודע – גם בזמני הרי יש עלות. אם זה בנתב""ג, בשדה התעופה, זה 800 ומשהו, ואם זה בלשכת האוכלוסין זה 400 ומשהו.",474. קידום חקלאות ירוקה על גגות,
,,אילת שקד,,שרת הפנים,נכון.,474. קידום חקלאות ירוקה על גגות,
,,ינון אזולאי,"ש""ס",,"זה שהוא יקבל את הפטור על ה-250 זה עדיין לא פותר, כי לפעמים הוא הזמין שלושה שבועות קודם. אני מכיר מקרים שהוא הזמין חודש קודם והוא לא קיבל את זה.",474. קידום חקלאות ירוקה על גגות,
,,אילת שקד,,שרת הפנים,"אני אסביר. זה מקרה אחר, אלה שני מקרים שונים, בוא נעשה סדר. קודם כול חשוב שתדעו שרשות האוכלוסין עשתה, באמת, עשינו בחודשים האחרונים מבצע יוצא דופן. מנהלי הלשכות והעובדים קורעים את עצמם. שימו לב למספרים: בינואר סיפקו בחודש אחד 115,000 דרכונים, במאי – 240,000 דרכונים. עלינו ביותר מ-100% רק בלשכות. פתחנו את הלשכה של הדרכונים הזמניים בבני ברק וכל אחד יכול למצוא שם תור לשלושת השבועות הקרובים. אם עכשיו אין, אז בצוהריים יהיה. כל יום נפתחים תורים לשלושת השבועות הקרובים, כך שאין מצב שאדם צריך דרכון היום ולא יכול להשיג אותו בתוך שלושה שבועות.בנוגע לאגרה, אני רוצה לחדד את שני המקרים שאמרתם: מי שמוציא דרכון זמני יקבל פטור מאגרה לדרכון הקבוע, זאת אומרת, אם אתם צריכים לטוס לחו""ל בקיץ תוציאו דרכון זמני, תקבעו תור לעוד חצי שנה ולא תצטרכו לשלם שוב את האגרה. חבר הכנסת אזולאי מדבר על מקרה קצת אחר, שהלכת והוצאת דרכון קבוע, אבל בגלל שזה לוקח זמן עד שהוא מגיע בדואר הוא לא הגיע בזמן, והיית צריך ללכת להוציא דרכון זמני.",474. קידום חקלאות ירוקה על גגות,
,,ינון אזולאי,"ש""ס",,לא מהדואר – – – זה עדיין לא הונפק.,474. קידום חקלאות ירוקה על גגות,
,,אילת שקד,,שרת הפנים,"לא משנה. הרשות תחזיר את הכסף, 250 שקל.",474. קידום חקלאות ירוקה על גגות,
,,ינון אזולאי,"ש""ס",,– – –,474. קידום חקלאות ירוקה על גגות,
,,אילת שקד,,שרת הפנים,"לא, הדרכון הרגיל זה 250 שקל.",474. קידום חקלאות ירוקה על גגות,
,,ינון אזולאי,"ש""ס",,"אני אומר, אני לא רוצה לפטור את הדרכון הקבוע. על הדרכון הקבוע הוא הלך ושילם. הוא לא אמור לשלם – – –",474. קידום חקלאות ירוקה על גגות,
,,אילת שקד,,שרת הפנים,"אה, אתה רוצה שהוא לא ישלם את הדרכון הזמני.",474. קידום חקלאות ירוקה על גגות,
,,ינון אזולאי,"ש""ס",,זה הגיוני. זה לא באשמתו – – –,474. קידום חקלאות ירוקה על גגות,
,,אילת שקד,,שרת הפנים,"בסדר, אתה צודק, אתה צודק. אנחנו נטפל בזה.",474. קידום חקלאות ירוקה על גגות,
,,אורי מקלב,יהדות התורה,,למה צריך לשלם יותר? הרי – – –,474. קידום חקלאות ירוקה על גגות,
,,אילת שקד,,שרת הפנים,"תראה רגע, חבר הכנסת מקלב, בוא רגע נדבר למה הגענו לסיטואציה הזאת. דרך אגב, זה לא רק אנחנו, ברוב המדינות בעולם יש אותה בעיה. ברוב המדינות בעולם היה לוקח כמה חודשים. הגענו לסיטואציה הזאת כי במשך שנתיים אנשים לא טסו ולא בדקו אם הדרכון שלהם בתוקף או לא. כך נוצר איזשהו עומס מאוד גדול על הלשכות אחרי הצטברות של שנתיים שאנשים לא באו להוציא דרכונים. בסוף אם אדם צריך לטוס והוא רואה שפג לו התוקף של הדרכון אז יש לו שלוש אפשרויות: או לנסות לקבוע תור רגיל או תור זמני – ושוב, אני חוזרת ומה שאני אומרת עכשיו זה חשוב, אדם יכול לקבל תור לשלושת השבועות הקרובים. אם כרגע אין – בצוהריים יהיה. כל יום נפתחים תורים חדשים בבני ברק; או אם הוא באמת נתקע ולא שם לב אז נתב""ג זה המוצא האחרון. אין אף אדם שרוצה לטוס ולא יוכל, קודם כול שנדע את זה.עוד משהו חשוב – כל מי שיש לו דרכון זר יכול לטוס חופשי. אנשים לפעמים שולחים לי בווטסאפ, הם לא יודעים אם מותר להם או לא. אני מקבלת הרבה פניות ציבור באופן אישי, אז חשוב שגם אתם תסבירו את זה לציבור. עד לפני כמה חודשים אזרח ישראלי לא היה יכול לטוס עם דרכון זר מישראל, אבל בגלל המצוקה כרגע, עד סוף השנה – ואני כנראה גם אאריך את זה ל-2023 – אנשים יוכלו לטוס מהארץ עם דרכון זר, כך שמי שיש לו דרכון זר ופג התוקף של הדרכון הישראלי, פשוט שיקבע בצורה מסודרת לאוקטובר-נובמבר ובינתיים יטוס עם הדרכון הזר.",474. קידום חקלאות ירוקה על גגות,
,,מיקי לוי,,"היו""ר","תודה רבה. עוד שנייה, לפני שקבוצת החיילות ביציע מפלוגת ראם ילכו, אני מברך אתכן על ביקורכן בכנסת. ברוכות הבאות.",474. קידום חקלאות ירוקה על גגות,
,,אילת שקד,,שרת הפנים,ברוכות הבאות. כל הכבוד.,474. קידום חקלאות ירוקה על גגות,
,,ינון אזולאי,"ש""ס",,גברתי השרה – – – אמרת דבר גדול לגבי הזמנים שיחזירו את הכסף הזה למי שהזמין קודם – – –,474. קידום חקלאות ירוקה על גגות,
,,אילת שקד,,שרת הפנים,נכון.,474. קידום חקלאות ירוקה על גגות,
,,ינון אזולאי,"ש""ס",,"אז חשוב שתצא הוראה, כי אנשים פונים, יש לנו פניות ציבור.",474. קידום חקלאות ירוקה על גגות,
,,אילת שקד,,שרת הפנים,אנחנו נוציא על זה היום הודעה מסודרת.,474. קידום חקלאות ירוקה על גגות,
,,ינון אזולאי,"ש""ס",,זו בשורה.,474. קידום חקלאות ירוקה על גגות,
,,אילת שקד,,שרת הפנים,"כן, כן. נוציא הודעה מסודרת. אני צריכה למשוך זמן, אז אני אסכם. אני רוצה לסכם את עניין הדרכונים: עשינו שורה של צעדים כדי שכרגע כל מי שצריך דרכון, יהיה לו דרכון.אני חוזרת על מה שעשינו: קודם כול מי שיש לו דרכון זר יכול לטוס עם דרכון זר; מי שצריך להוציא דרכון ואין לו תור בלשכות קובע תור בבני ברק – יש שם לשכה של דרכונים זמניים. כל יום נפתחים תורים, ועקרונית כל אדם אמור למצוא תור לשלושת השבועות הקרובים.",474. קידום חקלאות ירוקה על גגות,
,,ינון אזולאי,"ש""ס",,אתם תפתחו עוד מקומות כאלה?,474. קידום חקלאות ירוקה על גגות,
,,אילת שקד,,שרת הפנים,"לא. בינתיים אנחנו רואים שזה מספיק. אין כמו בני ברק – עובד כמו שצריך. אני גם רוצה להגיד מכאן תודה לראש עיריית בני ברק. תמסור לו ממני, כי הוא באמת עזר לנו מאוד להקים את הלשכה.",474. קידום חקלאות ירוקה על גגות,
,,ינון אזולאי,"ש""ס",,זה יהרוס לו את הפריימריז – – –,474. קידום חקלאות ירוקה על גגות,
,,אילת שקד,,שרת הפנים,"לא, אבל זה שירות לציבור.",474. קידום חקלאות ירוקה על גגות,
,,אורי מקלב,יהדות התורה,,– – –,474. קידום חקלאות ירוקה על גגות,
,,מיקי לוי,,"היו""ר","תודה, חבר הכנסת מקלב.",474. קידום חקלאות ירוקה על גגות,
,,אילת שקד,,שרת הפנים,"אז תמסור לו תודה.עוד שתי בשורות שהעלו חברי הכנסת: אחת – מי שמוציא דרכון זמני יקבל פטור מהאגרה על הדרכון הקבוע, ומי שנאלץ להוציא דרכון זמני אחרי שהוציא דרכון קבוע כי הוא לא הספיק לקבל אותו, אז הוא יקבל פטור מהאגרה של הדרכון הזמני.",474. קידום חקלאות ירוקה על גגות,
,,אורי מקלב,יהדות התורה,,– – – למה – – –,474. קידום חקלאות ירוקה על גגות,
,,אילת שקד,,שרת הפנים,"כי בסוף אנחנו חייבים שאנשים ילכו להוציא דרכון ביומטרי. בסוף יש אינסנטיב, יש תמריץ, ללכת להוציא דרכון ביומטרי.",474. קידום חקלאות ירוקה על גגות,
,,מיקי לוי,,"היו""ר",תודה.,474. קידום חקלאות ירוקה על גגות,
,,אורי מקלב,יהדות התורה,,– – –,474. קידום חקלאות ירוקה על גגות,
,,מיקי לוי,,"היו""ר","תודה, חבר הכנסת מקלב. צריך להתקדם בסדר-היום. תודה רבה, השרה.שאילתה דחופה נוספת, של חברת הכנסת לסקי. נראה לי שתצטרכי לחזור על כל ההסבר מחדש בנושא הדרכונים. חברת הכנסת לסקי, קצר וקולע.",139. מאגר ביומטרי רשות האוכלוסין,
,,גבי לסקי,מרצ,,"תודה, כבוד היושב-ראש. תודה גם לשרה על שחיכתה לי, תודה רבה. הממונה על היישומים הביומטריים דרש ממשרד הפנים בשלושה דוחות למחוק מאגר ביומטרי בלתי חוקי שנמצא ברשותו. היום פורסם שהמשרד חלק את המאגר עם רשות נוספת.ברצוני לשאול:איך ייתכן שרשויות השלטון מחזיקות מאגרים בלתי חוקיים וחולקות אותם ביניהן? תודה רבה.",139. מאגר ביומטרי רשות האוכלוסין,
,,אילת שקד,,שרת הפנים,"בשלושה דוחות דרש הממונה על היישומים הביומטריים ממשרד הפנים למחוק מאגר ביומטרי שנמצא ברשותו. היום פורסם שהמשרד חלק את המאגר עם רשות נוספת. בבסיסו של הפרויקט הביומטרי במדינת ישראל עמדה ההבנה כי רשות האוכלוסין וההגירה נדרשת להחזיק תמונות פנים של האזרחים והתושבים הנכללים בפרויקט, וזאת כדי לאפשר מתן שירות סביר ומיידי לפונים אליה בהיבטים של זיהוי ומניעת התחזויות. כדי שרשות האוכלוסין לא תחזיק מאגר תמונות ביומטרי מחוץ למאגר הביומטרי ניתן פתרון טכנולוגי הולם. התמונות שהורכשו על ידי רשות האוכלוסין עברו עיבוד – הפחתה שבוצעה על ידי אלגוריתם שנכתב ייעודית למטרה הזאת. הוא לא רק מעביר את התמונה לגוני אפור, אלא גם מעמיס על התמונות הרבה רעשי רקע – כל מיני נקודות שחורות – שמעוותים את התמונה. ואולם, גם אחרי העיבוד האמור התמונה נשארת כזאת שהאדם שהוא עובד רשות האוכלוסין יוכל להשתמש בה לזיהוי באופן ויזואלי לצורך מילוי תפקידו.הפתרון באותה העת מנע לחלוטין את האפשרות לשימוש במערכות להשוואה ביומטרית בתמונות המופחתות האלה. לאחרונה, עם התקדמות הטכנולוגיה, מנועי ההשוואה המשמשים ליישומים ביומטריים התקדמו באופן משמעותי, ומשכך, למעשה, ההתקדמות הטכנולוגית הכללית הפכה את ההשוואה הביומטרית אפשרית גם עם התמונות המופחתות. משכך העיר הממונה על היישומים הביומטריים שהתמונות המופחתות בידי רשות האוכלוסין כבר אינן מופחתות באופן מעשי כמוגדר בחוק, ולכן יש לרשות האוכלוסין בעיה עם החזקת תמונות באופן שאינו עומד בהוראת החוק, אף כי בוצעה הפחתה שבשעתה הלמה את הוראות החוק. מנגד, אין לרשות האוכלוסין דרך להמשיך לתת שירות ללא התמונות האמורות. הועלו כמה רעיונות לפתור את הבעיה, והפתרון שמתגבש, כמו כל הפתרונות שנבחנו, מחייב שינוי חקיקה. הרשות מקדמת עבודת מטה ומכינה את השינויים שיגובשו בחקיקה, וכאשר ייכנסו לתוקף תיפתר הבעיה.לגבי העברת התמונות – לא הועבר מאגר התמונות; מדובר בהעברה של תמונות מופחתות. כאשר הוצף העניין במסגרת דיוני פיקוח עם הממונה על היישומים הביומטריים, נערך בירור בנושא, והלשכה המשפטית הוציאה הנחיה להפסיק את העברת התמונות, וכך נעשה.",139. מאגר ביומטרי רשות האוכלוסין,
,,מיקי לוי,,"היו""ר","תודה רבה. שאלת המשך. גברתי השרה, עוד רגע. חבר הכנסת אזולאי – שאלת המשך, בבקשה. שאלה נוספת, יותר נכון.",139. מאגר ביומטרי רשות האוכלוסין,
,,ינון אזולאי,"ש""ס",,"גברתי השרה, אדוני היושב-ראש, אני חבר בוועדת הכספים, ומגיעות העברות – אגב, אני חייב גם לפרגן לסמנכ""ל החדש שלך, שיקי הראל, אדם מוכשר, אדם טוב, אז מילה טובה, ושיצליח בתפקיד. הוא בסך הכול חדש בתפקיד. מכירים אותו. בחירה נכונה בהליך.יש את דוח הירש, שאנחנו יודעים שהעברות תקציביות מגיעות לוועדת כספים, ועלתה השאלה בדוח הירש לגבי הרשויות הערביות. אגב, גם ברשויות הערביות אומרים שהייתה ויש בעיה של כל מיני פרוטקשנים למיניהם ומכרזים שמגיעים בסופו של דבר לארגוני הפשיעה. איך אתם עכשיו, כשמעבירים כל כך הרבה כספים, אוכפים ולא עוקפים את דוח הירש ומיישמים את המסקנות של דוח זה? תודה.",139. מאגר ביומטרי רשות האוכלוסין,
,,אילת שקד,,שרת הפנים,"אז אתה טועה, חבר הכנסת אזולאי, ואני אסביר לך מה מקור הטעות.",139. מאגר ביומטרי רשות האוכלוסין,
,,מיכאל מלכיאלי,"ש""ס",,"הוא טועה לגבי הסמנכ""ל או לגבי הדבר השני?",139. מאגר ביומטרי רשות האוכלוסין,
,,אילת שקד,,שרת הפנים,"לא, הסמנכ""ל נהדר, שלא יהיו אי-הבנות. הסמנכ""ל נהדר. אני אסביר על דוח הירש: דוח הירש זה יוזמה שלנו, של הממשלה הזו; קיבלנו מידע מודיעיני שלאורך השנים חלק מהמכרזים של הרשויות הערביות – מפעילים אותם גם ארגוני פשיעה, ורצינו למנוע את זה. מה שדוח הירש קובע – והוא מיושם – זה שכספים שעוברים לפיתוח ותשתיות – לא הכספים של השוטף אלא כספים שעוברים לפיתוח ותשתיות – ישמשו אם המכרז יופעל על ידי השלטון המקומי או על ידי האשכולות, וזה בביצוע.",139. מאגר ביומטרי רשות האוכלוסין,
,,ינון אזולאי,"ש""ס",,"אגב, בוועדת כספים אמרו לנו שיש מכרזים, הרבה מכרזים, שמגיעים לרשויות המקומיות ועליהם אין מעקב. בגלל זה אתם צריכים לשים לב שדוח הירש גם על – – –",139. מאגר ביומטרי רשות האוכלוסין,
,,אילת שקד,,שרת הפנים,"בסדר, אני אבדוק את זה. אני רק אומרת שצריך להבדיל בין כספים של שוטף לכספים של פיתוח.",139. מאגר ביומטרי רשות האוכלוסין,
,,מיקי לוי,,"היו""ר","תודה רבה. חבר הכנסת טיבי, שאלה נוספת, ובזה נסיים.",139. מאגר ביומטרי רשות האוכלוסין,
,,אחמד טיבי,הרשימה המשותפת,,"גברתי השרה, היום פורסמה בישראל היום ידיעה של אריאל כהנא שאת מתכננת רפורמה דרמטית, על פי הידיעה, שתגדיל ותחזק את ההתיישבות היהודית בגליל ובנגב. היום יש הצעת החוק של ניר אורבך שמתקנת את חוק ועדות קבלה ביישובים קהילתיים, להגדיל את מספר המשפחות. האם יש קשר? האם מטרת שני הדברים – גם ההחלטה שלך על פי ישראל היום וגם הצעת החוק – היא לשנות את המאזן הדמוגרפי בגליל או בנגב לטובת היהודים?",139. מאגר ביומטרי רשות האוכלוסין,
,,אילת שקד,,שרת הפנים,"אני אסביר. בהחלט יש קשר. אני גם זו שדחפה וביקשה מחברי הכנסת של ימינה – גם מיום טוב כלפון וגם מניר אורבך – להגיש את חוק ועדת קבלה, ואני אסביר.ליישובים הערביים בגליל אין מכסה; ליישובים היהודיים בגליל יש מכסה. זה כשלעצמו דבר בלתי מתקבל על הדעת. יש את תמ""א 35, שזה דבר שאתם מכירים, תוכנית מתאר ארצית. בתמ""א 35 יש לוח שנקרא לוח 2. בלוח 2, ליד היישובים הכפריים, יש מספר המשפחות שיכולות לגור בהם. נגיד, יישוב ספציפי – 350; יישוב אחר – 400. ממש כמו מדיניות הספר הלבן.אני נכנסתי למשרד ודי נחרדתי כשראיתי את זה. אני מובילה שני מהלכים שהם מקבילים: האחד – שיאפשרו להרחיב את היישובים האלה. דיבר איתי ראש מועצת משגב דני עברי, לדוגמה, והוא אומר: הצעירים שלנו, הצעירים של משגב, לא יכולים לקנות בית במועצה האזורית משגב, הם צריכים ללכת למקומות אחרים, כי אין מספיק בתים, כי יש החלטה מטופשת מלפני הרבה שנים – שאף אחד עד שאני נכנסתי למשרד לא טרח לקרוא עליה תיגר – שיישוב מסוים לא יכול לגדול מעל 350 בתים. אז מה שאני עושה זה מגדילה את לוח 2 בפריפריה ב-50%.",139. מאגר ביומטרי רשות האוכלוסין,
,,אוסאמה סעדי,הרשימה המשותפת,,"הוא יכול לגדול, אבל רק דרך ועדות קבלה. מה שאת אומרת זה שגם – – –",139. מאגר ביומטרי רשות האוכלוסין,
,,אילת שקד,,שרת הפנים,אלה שני דברים שונים.,139. מאגר ביומטרי רשות האוכלוסין,
,,אוסאמה סעדי,הרשימה המשותפת,,– – – מגדילים את זה – – –,139. מאגר ביומטרי רשות האוכלוסין,
,,מיקי לוי,,"היו""ר","חבר הכנסת סעדי, חבר הכנסת סעדי, תודה. תן לשרה להשלים.",139. מאגר ביומטרי רשות האוכלוסין,
,,אילת שקד,,שרת הפנים,"אלה שני דברים שונים. זה שני דברים שונים, אבל שניהם חשובים. לא, לא, אוסאמה, היום אותם יישובים, בגלל לוח 2, בלי קשר לוועדות קבלה, לא יכולים לגדול אם הם מגיעים למספר שכתוב בלוח 2. האמת, כשאני ראיתי את הלוח הזה די הזדעזעתי ולא הבנתי איך עד היום לא טיפלו בזה.אז אני מגדילה – אני מבקשת מהמועצה הארצית לתכנון ובנייה להגדיל את לוח 2 בפריפריה ב-50%, באזורים כמו אשקלון. זה נקרא אזורי א', זה הפריפריה. הטבעת השנייה זה אזורי ב', ושם – ב-30%, ובמרכז כמעט לא. המשמעות היא לחזק משמעותית את הפריפריה ולאפשר ליישובים קהילתיים – מועצה אזורית משגב זו דוגמה מעולה – לאפשר ליישובים הקהילתיים האלה, לילדים שלהם, להמשיך לגור שם, וגם למי שרוצה לבוא לגור שם. זהו.",139. מאגר ביומטרי רשות האוכלוסין,
